id,title_romaji,title_english,episodes,status,average_score,popularity,favourites,genres,studios,source,season,start_date,end_date
305,Abashiri Ikka,The Abashiri Family,4.0,FINISHED,48.0,1323,6,"Action, Comedy","Studio Pierrot, Dynamic Planning, ADV Films, Tokyo Kids",MANGA,SPRING,1991-5-21,1991-11-21
312,Ace wo Nerae: Final Stage,,12.0,FINISHED,70.0,1206,22,"Action, Sports",Tokyo Movie Shinsha,MANGA,FALL,1989-10-25,1990-4-25
314,Ace wo Nerae! 2,,13.0,FINISHED,73.0,1571,59,"Drama, Sports","Bandai Visual, Tokyo Movie Shinsha",MANGA,SUMMER,1988-7-25,1988-10-25
316,Nageki no Kenkou Yuuryouji,"F³: Frantic, Frustrated & Female",3.0,FINISHED,54.0,1132,18,"Comedy, Hentai","Critical Mass, SoftCel Pictures, Pink Pineapple, Media Blasters, AIC",MANGA,SUMMER,1994-8-5,1995-10-13
319,Happy World!,,3.0,FINISHED,52.0,1181,1,"Comedy, Ecchi, Fantasy, Romance",KSS,,WINTER,2002-12-13,2003-6-27
320,A KITE,Kite,2.0,FINISHED,62.0,15417,229,"Action, Drama, Hentai","Arms, Green Bunny, Media Blasters, Kitty Media, Avaco Creative Studios, Happinet Pictures",ORIGINAL,WINTER,1998-2-25,1998-10-25
357,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan,4.0,FINISHED,60.0,34749,398,"Comedy, Ecchi, Supernatural","NBCUniversal Entertainment Japan, Hal Film Maker, Nomad, Hakuhodo DY Music & Pictures, Discotek",LIGHT_NOVEL,SPRING,2005-3-13,2005-9-22
358,"Iriya no Sora, UFO no Natsu",,6.0,FINISHED,63.0,4929,27,"Drama, Romance, Sci-Fi","Toei Animation, Happinet Pictures",LIGHT_NOVEL,WINTER,2005-1-28,2005-7-8
359,I'll/CKBC,I'll/CKBC,2.0,FINISHED,53.0,1320,11,"Action, Drama, Sports","Aniplex, Media Blasters, M.S.C",MANGA,WINTER,2002-12-18,2003-3-26
361,Memories Off,,3.0,FINISHED,49.0,1703,7,"Drama, Romance",E&G Films,VISUAL_NOVEL,FALL,2001-11-21,2002-3-6
362,Memories Off 2nd,,3.0,FINISHED,54.0,1154,2,"Drama, Romance","Picture Magic, Rikuentai",VISUAL_NOVEL,WINTER,2003-1-22,2003-5-21
363,Memories Off 3.5: Omoide no Kanata e,,4.0,FINISHED,53.0,979,3,"Drama, Romance","Picture Magic, Rikuentai",VISUAL_NOVEL,SPRING,2004-5-12,2004-10-20
365,FAKE,,1.0,FINISHED,58.0,3446,34,"Comedy, Mystery, Romance","Media Blasters, J.C. Staff",MANGA,SPRING,1998-4-21,1998-4-21
366,AIKa,Agent Aika,7.0,FINISHED,56.0,7992,77,"Action, Adventure, Comedy, Ecchi, Sci-Fi","Bandai Visual, Studio Fantasia, Bandai Entertainment",ORIGINAL,SPRING,1997-4-25,1999-4-25
367,Akazukin Chacha OVA,,3.0,FINISHED,57.0,665,2,"Comedy, Fantasy",Heewon Entertainment,MANGA,WINTER,1995-12-6,1996-3-6
368,Bible Black,,6.0,FINISHED,58.0,9403,130,"Hentai, Supernatural","Milky Animation Label, Active, Media Blasters, Studio Jam",VISUAL_NOVEL,SUMMER,2001-7-21,2003-6-25
373,Bannou Bunka Neko-Musume,All Purpose Cultural Cat Girl Nuku Nuku,6.0,FINISHED,63.0,3677,44,"Action, Adventure, Comedy, Mecha, Sci-Fi","Studio Fantasia, Starchild Records, Animate, Movic, Discotek, Animate Film",ORIGINAL,FALL,1992-10-21,1994-5-25
374,Bannou Bunka Neko-Musume DASH!,All Purpose Cultural Cat Girl Nuku Nuku Dash!,12.0,FINISHED,59.0,1363,8,"Action, Comedy, Ecchi, Romance, Sci-Fi","Movic, Ashi Productions, Discotek, King Records",,FALL,1998-9-23,1998-12-23
376,"Elfen Lied: Tooriame nite - Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka?",Elfen Lied: Just How Did the Young Girl Arrive at Those Feelings?,1.0,FINISHED,65.0,30176,154,"Action, Drama, Ecchi, Horror, Psychological, Romance, Supernatural","VAP, ADV Films, Arms",MANGA,SPRING,2005-4-21,2005-4-21
377,eX-Driver,éX-Driver,6.0,FINISHED,63.0,2912,23,"Action, Sci-Fi","Bandai Visual, Actas, Genco, Ashi Productions, Media Blasters, A Line, Dentsu",ORIGINAL,SUMMER,2000-7-25,2001-9-25
380,Fushigi Yuugi OVA,Mysterious Play OVA,3.0,FINISHED,65.0,3183,29,"Adventure, Drama, Fantasy, Romance","Studio Pierrot, Bandai Visual, Movic, Media Blasters",MANGA,FALL,1996-10-25,1997-2-25
381,Fushigi Yuugi OVA 2,Mysterious Play OVA 2,6.0,FINISHED,66.0,2668,30,"Adventure, Drama, Fantasy, Romance","Studio Pierrot, Media Blasters, Movic, Bandai Visual",MANGA,SPRING,1997-5-25,1998-10-25
382,Futari Ecchi,Step Up Love Story,4.0,FINISHED,57.0,6383,44,"Comedy, Ecchi, Romance, Slice of Life","Half H.P Studio, Media Blasters, Chaos Project",MANGA,SUMMER,2002-7-26,2004-1-22
389,KARAS,Karas,6.0,FINISHED,68.0,9569,66,"Action, Fantasy, Sci-Fi","Tatsunoko Production, Hakuhodo DY Music & Pictures, Manga Entertainment",ORIGINAL,SPRING,2005-3-25,2007-10-26
391,Tales of Phantasia: THE ANIMATION,Tales of Phantasia,4.0,FINISHED,63.0,4008,20,"Adventure, Fantasy","NBCUniversal Entertainment Japan, Actas, Frontier Works",VIDEO_GAME,FALL,2004-11-25,2006-2-24
398,Seikai no Senki III,Banner of the Stars III,2.0,FINISHED,72.0,3642,22,"Action, Romance, Sci-Fi","Sunrise, Bandai Visual, BeSTACK",OTHER,SUMMER,2005-8-6,2005-8-6
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Samurai X: Reflection,2.0,FINISHED,75.0,12090,155,"Drama, Romance","Studio DEEN, SME Visual Works",MANGA,FALL,2001-12-3,2001-12-3
402,Otogi-juushi Akazukin (OVA),,1.0,FINISHED,55.0,768,4,Adventure,"MADHOUSE, Konami, Aquatone",ORIGINAL,WINTER,2005-2-20,2005-2-20
404,BASTARD!!: Ankoku no Hakaishin,Bastard!!,6.0,FINISHED,62.0,7933,117,"Action, Adventure, Comedy, Ecchi, Fantasy","AIC, Geneon Entertainment, Shueisha",MANGA,SUMMER,1992-8-25,1993-6-25
408,Final Fantasy VII: Last Order,Final Fantasy VII: Last Order,1.0,FINISHED,67.0,8352,52,"Action, Adventure, Drama, Fantasy, Sci-Fi","MADHOUSE, Sony Pictures Entertainment, Square Enix",VIDEO_GAME,FALL,2005-9-14,2005-9-14
413,Hametsu no Mars,Mars of Destruction,1.0,FINISHED,19.0,17484,30,"Action, Horror, Sci-Fi","Idea Factory, WAO World, King Records, Design Factory",VISUAL_NOVEL,SUMMER,2005-7-6,2005-7-6
422,Stratos 4 OVA,,2.0,FINISHED,57.0,805,5,"Comedy, Sci-Fi","Studio Fantasia, Bandai Entertainment",,SPRING,2004-5-25,2004-8-1
